num,Thickness (mm),xCell,yCell,zCell,Angle (°),Height (mm),Radius (mm),RD,SA (cm^2),SA/VR (1/cm),Porosity,Elastic Modulus (GPa),Yield Strain (-),Yield Stress (MPa),Ultimate Strain (-),Ultimate Stress (MPa),Energy Absorption (MJ/m^3),Plateau Stress (MPa)
1,0.2,3,3,3,0,8,2.5,15.0874345,4.127542368,172.5325662,84.9125655,3.073900612,0.023444101,65.9170362,0.123627186,90.52632236,41.71456262,85.84563089
2,0.3,3,3,3,0,8,2.5,22.64027234,4.226359963,117.1999208,77.35972766,4.824348373,0.023448849,103.476722,0.181783095,146.9868336,67.63639246,140.7287583
3,0.4,3,3,3,0,8,2.5,30.30251138,4.271607015,88.99422048,69.69748862,6.67179666,0.023200229,141.4436147,0.199417576,206.2956925,92.09739896,194.0057285
4,0.2,4,3,3,0,8,2.5,13.79915872,3.852406313,176.5931347,86.20084128,2.181994224,0.024068325,48.15295671,0.123902991,66.53329094,30.66374887,63.48178045
5,0.3,4,3,3,0,8,2.5,20.7393017,3.909905437,119.5258828,79.2606983,3.435057571,0.024218124,76.32053369,0.198524386,108.3612884,49.79082375,100.1748426
6,0.4,4,3,3,0,8,2.5,27.69273968,3.980672387,91.04269879,72.30726032,4.797736919,0.02387601,104.955341,0.199759096,152.509787,69.83788245,141.9944482
7,0.2,3,4,3,0,8,2.5,13.81300289,3.829275863,177.0050288,86.18699711,2.161566774,0.024208734,48.00566167,0.140342593,67.41728124,30.45997142,63.14523596
8,0.3,3,4,3,0,8,2.5,20.73860166,3.945805269,120.4267968,79.26139834,3.426822155,0.024141376,75.87455929,0.168160751,107.9981671,49.66864643,100.934288
9,0.4,3,4,3,0,8,2.5,27.69006476,3.994176845,91.68293011,72.30993524,4.774744252,0.024117142,105.6036947,0.199760482,153.6029934,69.95506743,143.7348413
10,0.2,4,4,3,0,8,2.5,12.51847434,3.492073715,177.3603824,87.48152566,1.766623426,0.022130729,35.5634175,0.128555834,47.56469472,21.00181441,43.25568035
11,0.3,4,4,3,0,8,2.5,18.82063393,3.632619186,121.5420069,81.17936607,2.765692486,0.021989379,55.28447459,0.160056919,76.6456619,35.32700229,73.60985422
12,0.4,4,4,3,0,8,2.5,25.18643393,3.717636269,92.78751944,74.81356607,3.816749857,0.02211128,76.75972669,0.18776986,108.9999751,50.30074745,102.6247397
13,0.2,3,3,4,0,8,2.5,13.81942471,3.830773096,176.0323226,86.18057529,2.596655259,0.03114721,75.68525544,0.105567694,96.86658478,41.53750559,81.71303425
14,0.3,3,3,4,0,8,2.5,20.79197309,3.975633624,118.2437913,79.20802691,4.137619851,0.031452308,121.8624549,0.155166239,157.0254228,63.25346278,126.280065
15,0.4,3,3,4,0,8,2.5,27.76508576,3.9485291,89.65414359,72.23491424,5.681342954,0.031387154,166.9584978,0.198415175,221.8772927,93.39955618,184.1289735
16,0.2,4,3,4,0,8,2.5,12.63392376,3.489720586,176.7976194,87.36607624,2.76243353,0.022825194,57.52821341,0.099702895,75.97273171,29.99547457,56.79342767
17,0.3,4,3,4,0,8,2.5,18.97231838,3.605435522,119.5860965,81.02768162,4.429698317,0.022791269,92.09905014,0.140099451,121.1098364,51.80861271,101.0819404
18,0.4,4,3,4,0,8,2.5,25.35440962,3.60826627,90.69533419,74.64559038,6.136605036,0.022657946,126.7696547,0.174175754,169.6163763,73.66625116,149.9526567
19,0.2,3,4,4,0,8,2.5,12.65242219,3.545255824,176.5798406,87.34757781,2.77320534,0.022889005,57.92949903,0.106025971,75.77842219,33.0481319,64.99781047
20,0.3,3,4,4,0,8,2.5,19.00723859,3.62262716,119.6078193,80.99276141,4.425589464,0.022867525,92.35109994,0.156502783,122.3365663,52.53970636,103.3148305
21,0.4,3,4,4,0,8,2.5,25.34004988,3.685146134,91.33863483,74.65995012,6.11547347,0.022793581,127.1625929,0.190579295,170.2765372,74.04505232,153.5308048
22,0.2,4,4,4,0,8,2.5,11.42889957,3.147394568,173.903774,88.57110043,1.924651973,0.022719157,39.87716726,0.109682038,52.07829488,23.30573379,45.65486019
23,0.3,4,4,4,0,8,2.5,17.16475945,3.326272401,119.3328992,82.83524055,3.054937334,0.022780492,63.48310076,0.19162485,85.26003129,37.50932754,71.36464855
24,0.4,4,4,4,0,8,2.5,22.99722032,3.31850656,90.91903423,77.00277968,4.255404547,0.022872855,88.8224416,0.19035843,120.0620683,52.4421576,99.03397513
25,0.2,3,3,3,30,8,2.5,15.39372737,4.182469644,172.9339519,84.60627263,2.587436368,0.026098466,62.35324835,0.160847217,89.69430056,40.74008074,79.12159976
26,0.3,3,3,3,30,8,2.5,23.11844577,4.257460107,116.42799,76.88155423,4.250296191,0.025701953,100.7403184,0.177297011,148.5160914,65.46598211,128.6900061
27,0.4,3,3,3,30,8,2.5,30.87679935,4.369831411,88.13691123,69.12320065,6.010202725,0.025636824,142.0621043,0.181100905,211.5447863,91.22961851,179.9162978
