num,Code,Thickness (mm),xCell,yCell,zCell,Angle (°),Height (mm),Radius (mm),RD,SA (cm^2),SA/VR (1/cm),Porosity,Elastic Modulus (GPa),Yield Strain (-),Yield Stress (MPa),Ultimate Strain (-),Ultimate Stress (MPa),Energy Absorption (MJ/m^3),Plateau Stress (MPa)
1,G,0.2,3,3,3,0,8,2.5,12.88201546,3.431527612,167.4756168,87.11798454,1.377231442,0.032289326,41.71541149,0.101792127,52.32626056,25.04909125,50.85215536
2,G,0.3,3,3,3,0,8,2.5,19.36676607,3.466206368,113.5448064,80.63323393,2.333244739,0.030742486,67.06325318,0.192133099,88.97793321,41.57752909,84.45514425
3,G,0.4,3,3,3,0,8,2.5,25.89409839,3.582782123,86.57029645,74.10590161,3.425187492,0.029543392,94.34128238,0.194671333,130.2387252,59.63100242,117.8464306
4,G,0.2,4,3,3,0,8,2.5,11.54161769,3.149204251,170.1175975,88.45838231,1.099116742,0.029406139,30.12254612,0.1295816,40.94068928,19.08278197,38.23320472
5,G,0.3,4,3,3,0,8,2.5,17.35968515,3.199481113,115.1614126,82.64031485,1.825144643,0.028522238,48.40692124,0.199420035,67.85103477,32.13521238,66.12621691
6,G,0.4,4,3,3,0,8,2.5,23.2071268,3.290883124,88.011962,76.7928732,2.607485396,0.028176339,68.2544206,0.198107436,97.58666947,46.78269431,97.80137158
7,G,0.2,3,4,3,0,8,2.5,11.29038035,3.086237584,171.7966977,88.70961965,0.940767686,0.023680754,20.39655238,0.195969388,28.46341555,13.1877828,25.33295477
8,G,0.3,3,4,3,0,8,2.5,16.99037476,3.187531112,118.1738835,83.00962524,1.634291929,0.023453015,35.06048979,0.188446209,50.8438927,23.28451008,45.26132682
9,G,0.4,3,4,3,0,8,2.5,22.7914,3.360374401,91.77144277,77.2086,2.427093332,0.023411606,51.96796594,0.199778423,76.89954751,35.69828322,72.17960273
10,G,0.2,4,4,3,0,8,2.5,10.22575294,2.740378356,170.7797425,89.77424706,0.646699054,0.029208167,17.59549553,0.124472797,24.69988579,10.99508323,22.49759033
11,G,0.3,4,4,3,0,8,2.5,15.39591936,2.840707467,116.3048802,84.60408064,1.163112408,0.028337396,30.63335228,0.120649561,43.26731415,20.37895507,40.87749307
12,G,0.4,4,4,3,0,8,2.5,20.58149373,2.934011103,89.07755639,79.41850627,1.760211892,0.027409567,44.72622221,0.189300463,64.58561108,30.56246456,62.5724044
13,G,0.2,3,3,4,0,8,2.5,11.76682844,3.210675274,171.3541818,88.23317156,2.292816904,0.022542645,47.10052449,0.089804992,57.4875229,25.30222527,45.50412911
14,G,0.3,3,3,4,0,8,2.5,17.66339606,3.224917537,116.0301252,82.33660394,3.728456352,0.022537391,76.57276687,0.127742603,95.04093501,41.78017095,77.71255828
15,G,0.4,3,3,4,0,8,2.5,23.61885733,3.256906238,88.34846716,76.38114267,5.276206885,0.022461628,107.9597814,0.15177837,136.3978342,59.26187739,114.5342468
16,G,0.2,4,3,4,0,8,2.5,10.59726453,2.862167279,169.3343778,89.40273547,1.522255379,0.025668342,36.02926092,0.082670227,45.18408847,19.67105889,39.22694794
17,G,0.3,4,3,4,0,8,2.5,15.91342939,2.88040829,115.1537468,84.08657061,2.475007309,0.025443463,58.02274349,0.120828763,75.19170057,32.83166094,64.49779259
18,G,0.4,4,3,4,0,8,2.5,21.233979,2.929917576,88.304032,78.766021,3.481298081,0.025237276,80.8958826,0.131004408,106.4699187,45.95557839,90.52817031
19,G,0.2,3,4,4,0,8,2.5,10.33404291,2.81020006,172.3473924,89.66595709,0.988639252,0.025469812,23.20317758,0.077449948,30.18025698,13.54262915,25.3782675
20,G,0.3,3,4,4,0,8,2.5,15.53686951,2.919231293,118.2761527,84.46313049,1.732347391,0.025247485,40.27272018,0.096491009,51.54457747,23.40993932,43.28372767
21,G,0.4,3,4,4,0,8,2.5,20.81174601,3.066594126,91.66881149,79.18825399,2.56196262,0.025034581,59.01373519,0.101569846,75.80781094,35.61863178,66.88904651
22,G,0.2,4,4,4,0,8,2.5,9.409548535,2.493100204,165.6608855,90.59045147,0.632466348,0.032383125,19.21630396,0.089029923,23.42834188,8.00259505,11.07380809
23,G,0.3,4,4,4,0,8,2.5,14.15777121,2.574165486,113.1083694,85.84222879,1.151179443,0.030380763,32.67135065,0.105573326,43.26689785,19.39741107,37.28189723
24,G,0.4,4,4,4,0,8,2.5,18.85934364,2.611465363,87.3392519,81.14065636,1.752177397,0.028782045,46.92689477,0.197109491,65.0956608,29.05161237,54.97744949
25,G,0.2,3,3,3,30,8,2.5,12.76265702,3.456387536,168.0207918,87.23734298,1.704078554,0.025702909,40.39161866,0.077528544,51.28574499,22.82766752,43.10016327
26,G,0.3,3,3,3,30,8,2.5,19.17458812,3.470318341,114.4671059,80.82541188,2.830811183,0.025618297,66.85893949,0.100406289,87.6837083,38.49133981,75.62425564
